date,time,turn,room,format,winner,reason,corp,runner
20210204,0,,casual,standard,,,Cybernetics Division: Humanity Upgraded,"Ken ""Express"" Tenma: Disappeared Clone"
20210204,0,,casual,standard,,,Seidr Laboratories: Destiny Defined,Leela Patel: Trained Pragmatist
20210204,1,,casual,standard,,,Jinteki: Replicating Perfection,Adam: Compulsive Hacker
20210204,3,,casual,standard,,,Jinteki: Personal Evolution,Akiko Nisei: Head Case
20210204,4,,casual,standard,,,Weyland Consortium: Builder of Nations,Quetzal: Free Spirit
20210204,5,,casual,standard,,,Jinteki: Replicating Perfection,Hoshiko Shiro: Untold Protagonist
20210204,7,11,casual,standard,corp,Agenda,Weyland Consortium: Building a Better World,"Ken ""Express"" Tenma: Disappeared Clone"
20210204,9,,casual,standard,,,Sportsmetal: Go Big or Go Home,419: Amoral Scammer
20210204,10,,casual,standard,,,Titan Transnational: Investing In Your Future,Hoshiko Shiro: Untold Protagonist
20210204,10,,casual,standard,,,Argus Security: Protection Guaranteed,Valencia Estevez: The Angel of Cayambe
20210204,11,,casual,standard,,,Jinteki: Replicating Perfection,Az McCaffrey: Mechanical Prodigy
20210204,11,,casual,standard,,,MirrorMorph: Endless Iteration,Freedom Khumalo: Crypto-Anarchist
20210204,7,6,casual,standard,runner,Agenda,Jinteki: Replicating Perfection,Adam: Compulsive Hacker
20210204,3,3,casual,standard,runner,Agenda,Jinteki Biotech: Life Imagined,Freedom Khumalo: Crypto-Anarchist
20210204,16,,casual,standard,,,Sportsmetal: Go Big or Go Home,Adam: Compulsive Hacker
20210204,18,,casual,casual,,,Weyland Consortium: Building a Better World,Gabriel Santiago: Consummate Professional
20210204,19,,casual,snapshot-plus,,,The Foundry: Refining the Process,"Ele ""Smoke"" Scovak: Cynosure of the Net"
20210204,19,,casual,standard,,,MirrorMorph: Endless Iteration,Sunny Lebeau: Security Specialist
20210204,16,6,casual,standard,corp,Flatline,Jinteki: Personal Evolution,Akiko Nisei: Head Case
20210204,10,12,casual,standard,,,The Outfit: Family Owned and Operated,Hoshiko Shiro: Untold Protagonist
20210204,20,,casual,casual,,,Haas-Bioroid: Engineering the Future,Gabriel Santiago: Consummate Professional
20210204,21,14,casual,standard,runner,Agenda,Cybernetics Division: Humanity Upgraded,Reina Roja: Freedom Fighter
20210204,24,,casual,standard,,,Acme Consulting: The Truth You Need,Alice Merchant: Clan Agitator
20210204,7,8,casual,standard,corp,Concede,Sportsmetal: Go Big or Go Home,419: Amoral Scammer
20210204,24,15,casual,standard,runner,Agenda,Jinteki: Personal Evolution,Akiko Nisei: Head Case
20210204,4,2,casual,standard,corp,Concede,Spark Agency: Worldswide Reach,Alice Merchant: Clan Agitator
20210204,5,6,casual,standard,corp,Flatline,Jinteki: Personal Evolution,419: Amoral Scammer
20210204,23,20,casual,standard,runner,Agenda,Jinteki: Personal Evolution,Adam: Compulsive Hacker
20210204,16,10,casual,standard,runner,Agenda,GameNET: Where Dreams are Real,Adam: Compulsive Hacker
20210204,20,24,casual,standard,corp,Concede,Jinteki: Replicating Perfection,Leela Patel: Trained Pragmatist
20210204,33,,casual,standard,,,GameNET: Where Dreams are Real,Los: Data Hijacker
20210204,35,,casual,standard,,,GameNET: Where Dreams are Real,Lat: Ethical Freelancer
20210204,10,10,casual,standard,corp,Agenda,Jinteki: Personal Evolution,Hayley Kaplan: Universal Scholar
20210204,35,26,casual,standard,corp,Agenda,Spark Agency: Worldswide Reach,"Nathaniel ""Gnat"" Hall: One-of-a-Kind"
20210204,10,13,casual,standard,runner,Agenda,Titan Transnational: Investing In Your Future,Leela Patel: Trained Pragmatist
20210204,23,20,casual,casual,corp,Agenda,Haas-Bioroid: Engineering the Future,Gabriel Santiago: Consummate Professional
20210204,25,18,casual,standard,runner,Agenda,Cybernetics Division: Humanity Upgraded,Hoshiko Shiro: Untold Protagonist
20210204,22,13,casual,standard,corp,Agenda,AgInfusion: New Miracles for a New World,Alice Merchant: Clan Agitator
20210204,49,,casual,casual,,,Sportsmetal: Go Big or Go Home,Reina Roja: Freedom Fighter
20210204,14,14,casual,standard,corp,Agenda,NBN: Controlling the Message,419: Amoral Scammer
20210204,35,18,casual,standard,runner,Agenda,AgInfusion: New Miracles for a New World,Adam: Compulsive Hacker
20210204,26,18,casual,standard,corp,Flatline,Weyland Consortium: Builder of Nations,Hayley Kaplan: Universal Scholar
20210204,42,19,casual,standard,corp,Agenda,AgInfusion: New Miracles for a New World,Leela Patel: Trained Pragmatist
20210204,6,6,casual,standard,corp,Flatline,NBN: Making News,419: Amoral Scammer
20210204,16,12,casual,standard,corp,Flatline,NBN: Controlling the Message,Leela Patel: Trained Pragmatist
20210204,23,15,casual,standard,corp,Agenda,Asa Group: Security Through Vigilance,Los: Data Hijacker
20210204,11,2,casual,standard,runner,Concede,Tennin Institute: The Secrets Within,Freedom Khumalo: Crypto-Anarchist
20210204,8,7,casual,standard,corp,Flatline,NBN: Controlling the Message,Adam: Compulsive Hacker
20210204,11,8,casual,standard,corp,Agenda,NBN: Controlling the Message,"Rielle ""Kit"" Peddler: Transhuman"
20210204,8,10,casual,standard,runner,Agenda,Weyland Consortium: Building a Better World,419: Amoral Scammer
20210204,21,12,casual,standard,corp,Flatline,Jinteki: Replicating Perfection,Chaos Theory: Wünderkind
20210204,18,15,casual,standard,runner,Agenda,Cybernetics Division: Humanity Upgraded,Sunny Lebeau: Security Specialist
